Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,gi   gk,Type,TP,Line
C III,,770.955,12970.93,,13000000.0,0.193,B,39.640271      -     41.248462,1s2.2p.(2P*).3p | 1P   | 1,1s2.2p.(2P*).3d      | 1D*     | 2,3 - 5,,T5633,
C IV,772.83,,12939.41,90w,,,,,|      |,|         |,,,,"L7288,L3492"
C III,,777.39,12863.56,,17700000.0,0.0535,B,40.577334      -     42.172212,1s2.2p.(2P*).3p | 3S   | 1,1s2.2p.(2P*).3d      | 3P*     | 0,3 - 1,,T5633LS,
C III,,778.255,12849.26,,17600000.0,0.16,B,40.577334      -     42.170439,1s2.2p.(2P*).3p | 3S   | 1,1s2.2p.(2P*).3d      | 3P*     | 1,3 - 3,,T5633LS,
C III,,779.814,12823.57,,17500000.0,0.266,B,40.577334      -     42.167254,1s2.2p.(2P*).3p | 3S   | 1,1s2.2p.(2P*).3d      | 3P*     | 2,3 - 5,,T5633LS,
C I,783.4784,783.47975,12763.594,17000,570000.0,0.0156,B,8.84658790    -     10.42906912,2s2.2p.3p       | 3P   | 0,2s2.2p.4d            | 3P*     | 1,1 - 3,,T6070n,L17684
C I,783.9261,783.92699,12756.304,7800,1810000.0,0.0056,B,8.848124381   -     10.42970278,2s2.2p.3p       | 3P   | 1,2s2.2p.4d            | 3P*     | 0,3 - 1,,T6070n,L17684
C I,784.2427,784.24119,12751.155,9000,520000.0,0.0048,B,8.848124381   -     10.42906912,2s2.2p.3p       | 3P   | 1,2s2.2p.4d            | 3P*     | 1,3 - 3,,T6070n,L17684
C I,785.0405,785.041022,12738.196,17000,400000.0,0.0062,B,8.848124381   -     10.42745839,2s2.2p.3p       | 3P   | 1,2s2.2p.4d            | 3P*     | 2,3 - 5,,T6070n,L17684
C I,785.5023,785.50244,12730.708,19000,750000.0,0.0042,B,8.850662829   -     10.42906912,2s2.2p.3p       | 3P   | 2,2s2.2p.4d            | 3P*     | 1,5 - 3,,T6070n,L17684
C II,786.271,786.288,12718.3,25w*,2980000.0,0.0414,B,22.130595      -     23.707425,2s2.5d          | 2D   | 3/2,2s2.9f               | 2F*     | 5/2,4 - 6,,T7476,L21568
C II,786.271,786.303,12718.3,25w*,3190000.0,0.0394,B,22.130626      -     23.707426,2s2.5d          | 2D   | 5/2,2s2.9f               | 2F*     | 7/2,6 - 8,,T7476,L21568
C II,786.271,786.303,12718.3,25w*,210000.0,0.002,D+,22.130626      -     23.707425,2s2.5d          | 2D   | 5/2,2s2.9f               | 2F*     | 5/2,6 - 6,,T7476,L21568
C I,786.304,786.304842,12717.72,110000bl(Ni),1530000.0,0.0142,B,8.850662829   -     10.42745839,2s2.2p.3p       | 3P   | 2,2s2.2p.4d            | 3P*     | 2,5 - 5,,T6070n,L9405c184
U I,788.411,,12683.74,50,,,,,|      |,|         |,,,,L3475
C I,,789.43975,12667.2111,,16000.0,0.00015,C,8.848124381   -     10.41865840,2s2.2p.3p       | 3P   | 1,2s2.2p.4d            | 1P*     | 1,3 - 3,,T6070,
C I,794.679,794.675,12583.7,8100*,,,,9.33030708    -     10.890494,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).6f | 2[3/2]  | 1,3 - 3,,,L17684
C I,794.679,794.675,12583.7,8100*,,,,9.33030708    -     10.890494,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).6f | 2[3/2]  | 2,3 - 5,,,L17684
C IV,,794.881,12580.5,,1730000.0,0.0164,A,58.44247       -    [60.00225],1s2.6d          | 2D   | 3/2,1s2.7p               | 2P*     | 3/2,4 - 4,,T5118LS,
C IV,,794.957,12579.3,,15600000.0,0.0985,A,58.44262       -    [60.00225],1s2.6d          | 2D   | 5/2,1s2.7p               | 2P*     | 3/2,6 - 4,,T5118LS,
C IV,,795.033,12578.1,,17300000.0,0.082,A,58.44247       -    [60.00195],1s2.6d          | 2D   | 3/2,1s2.7p               | 2P*     | 1/2,4 - 2,,T5118LS,
C I,795.3533,795.3525,12573.029,4200,,,,9.33030708    -     10.889166,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).6f | 2[5/2]  | 2,3 - 5,,,L17684
C I,795.438,795.4343,12571.7,9400*,,,,9.330467271   -     10.889166,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).6f | 2[5/2]  | 2,5 - 5,,,L17684
C I,795.438,795.438,12571.7,9400*,,,,9.330467271   -     10.889159,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).6f | 2[5/2]  | 3,5 - 7,,,L17684
U I,797.265,,12542.88,18,,,,,|      |,|         |,,,,L3475
C II,,797.784,12534.72,,72200.0,0.000689,B,20.919793      -     22.473900,2p3             | 2P*  | 1/2,2s2.6s               | 2S      | 1/2,2 - 2,,T5109LS,
C I,,798.4184,12524.762,,36000.0,0.001,C,8.84658790    -     10.3994604,2s2.2p.3p       | 3P   | 0,2s2.2p.5s            | 1P*     | 1,1 - 3,,T6070,
C II,,798.979,12515.97,,144000.0,0.000689,B,20.922118      -     22.473900,2p3             | 2P*  | 3/2,2s2.6s               | 2S      | 1/2,4 - 2,,T5109LS,
