v	1-F	EW0	WLobs	WLvald	ID	Trans	cp	M
 4191.20	 0.119	   7	2385.95	2385.95	CO  	13CO3-1R27       	X  	B
 4191.13	 0.063	  96	2385.99	2385.99	CO  	CO5-3R61         	X  	B
 4190.71	 0.302	   3	2386.23	2386.23	CO  	13CO2-0R6        	X  	B
 4190.69	 0.324	 164	2386.24	2386.24	CO  	CO5-3R37         	X  	B
 4190.24	 0.388	 180	2386.50	2386.50	CO  	CO2-0P16         	X  	A
 4190.22	 0.406	  39	2386.51	2386.50	MgI 	                 	X  	B
 4190.20	 0.394	   7	2386.52	2386.50	MgI 	                 	X  	B
 4190.17	 0.375	  53	2386.54	2386.53	SiI 	                 	X  	B
 4190.15	 0.352	 119	2386.55	2386.54	CO  	CO5-3R62         	X  	B
 4190.13	 0.320	   7	2386.56	2386.55	MgI 	                 	X  	B
 4190.10	 0.266	  34	2386.58	2386.56	MgI 	                 	X  	B
 4190.08	 0.193	  57	2386.59	2386.57	MgI 	                 	X  	B
 4189.73	 0.376	 253	2386.79	2386.79	CO  	CO5-3R36         	X  	A
 4189.66	 0.246	  53	2386.83	2386.83	CO  	CO4-2R89         	X  	B
 4189.45	 0.108	  64	2386.95	2386.95	CO  	13CO3-1R26       	X  	A
 4189.31	 0.055	  20	2387.03	2387.03	CO  	CO3-1R104        	X  	B
 4189.27	 0.092	  80	2387.05	2387.06	FeI 	                 	X  	B
 4189.13	 0.274	 157	2387.13	2387.13	CO  	CO5-3R63         	X  	A
 4188.68	 0.286	 210	2387.39	2387.39	CO  	CO5-3R35         	X  	A
 4188.29	 0.306	 246	2387.61	2387.61	CO  	CO4-2R9          	X  	A
 4188.22	 0.242	  18	2387.65	       	U   	                 	X  	F
 4188.03	 0.246	 192	2387.76	2387.76	CO  	CO5-3R64         	X  	A
 4186.85	 0.214	 143	2388.43	2388.44	CO  	CO5-3R65         	X  	A
 4186.47	 0.085	  52	2388.65	2388.65	CO  	CO4-2R90         	X  	B
 4186.36	 0.374	 261	2388.71	2388.72	CO  	CO5-3R33         	X  	A
 4185.85	 0.023	   7	2389.00	       	U   	                 	T  	F
 4185.71	 0.105	  19	2389.08	2389.08	CO  	13CO3-1R24       	T  	A
 4185.54	 0.254	 215	2389.18	2389.17	CO  	CO5-3R66         	T  	A
 4185.26	 0.415	 231	2389.34	2389.32	CO  	CO2-0P17         	Q4 	B
 4185.24	 0.418	 227	2389.35	2389.36	CO  	CO4-2R8          	Q4 	B
